id,Title,Ingredients,Instructions,Image_Name,Cleaned_Ingredients
0,Pollo Asado Con Miso Y Mantequilla Con Panzanella De Calabaza Bellota,"['1 (3½–4-lb.) whole chicken', '2¾ tsp. kosher salt, divided, plus more', '2 small acorn squash (about 3 lb. total)', '2 Tbsp. finely chopped sage', '1 Tbsp. finely chopped rosemary', '6 Tbsp. unsalted butter, melted, plus 3 Tbsp. room temperature', '¼ tsp. ground allspice', 'Pinch of crushed red pepper flakes', 'Freshly ground black pepper', '⅓ loaf good-quality sturdy white bread, torn into 1"" pieces (about 2½ cups)', '2 medium apples (such as Gala or Pink Lady; about 14 oz. total), cored, cut into 1"" pieces', '2 Tbsp. extra-virgin olive oil', '½ small red onion, thinly sliced', '3 Tbsp. apple cider vinegar', '1 Tbsp. white miso', '¼ cup all-purpose flour', '2 Tbsp. unsalted butter, room temperature', '¼ cup dry white wine', '2 cups unsalted chicken broth', '2 tsp. white miso', 'Kosher salt, freshly ground pepper']","Seque el pollo con toallas de papel y sazone con 2 cucharaditas. sal y atar las piernas con hilo de cocina. Deje reposar a temperatura ambiente durante 1 hora.
Mientras tanto, corte la calabaza por la mitad y quítele las semillas. Pasa un pelador de verduras por las crestas de las mitades de calabaza para quitarles la piel. Corte cada mitad en trozos de ½"" de grosor; colóquelos en una bandeja para hornear con borde.
Combine salvia, romero y 6 cucharadas. mantequilla derretida en un tazón grande; vierta la mitad de la mezcla sobre la calabaza en una bandeja para hornear. Espolvoree la calabaza con pimienta de Jamaica, hojuelas de pimiento rojo y ½ cucharadita. sal y sazona con pimienta negra; revuelva para cubrir.
Agrega el pan, las manzanas, el aceite y ¼ de cucharadita. sal al resto de la mantequilla de hierbas en un tazón; sazone con pimienta negra y revuelva para combinar. Reservar.
Coloca la cebolla y el vinagre en un tazón pequeño; sazone con sal y revuelva para cubrir. Déjelo reposar, revolviendo ocasionalmente, hasta que esté listo para servir.
Coloque una rejilla en el tercio medio e inferior del horno; Precaliente a 425°F. Mezcla miso y 3 cucharadas. mantequilla a temperatura ambiente en un tazón pequeño hasta que quede suave. Seque el pollo con toallas de papel y luego frote o unte con mantequilla de miso. Coloque el pollo en una sartén grande de hierro fundido y ase en la rejilla del medio hasta que un termómetro de lectura instantánea insertado en la parte más gruesa de la pechuga registre 155 °F, 50 a 60 minutos. (La temperatura aumentará a 165°F mientras el pollo reposa). Deje que el pollo repose en la sartén por al menos 5 minutos, luego transfiéralo a un plato; reserva la sartén.
Mientras tanto, ase la calabaza en la rejilla inferior hasta que esté casi tierna, aproximadamente 25 minutos. Retire del horno y esparza la mezcla de pan reservada, extendiéndola en una capa lo más uniforme posible. Regrese al horno y ase hasta que el pan esté dorado y crujiente y las manzanas estén tiernas, aproximadamente 15 minutos. Retirar del horno, escurrir las cebollas encurtidas y mezclar para combinar. Transfiera a una fuente para servir.
Con los dedos, triture la harina y la mantequilla en un tazón pequeño para combinar.
Coloque la sartén reservada con la grasa de pollo a fuego medio. Debería tener aproximadamente ¼ de taza, pero un poco más o menos está bien. (Si tiene mucha más, escurra y reserve el exceso). Agregue vino y cocine, revolviendo con frecuencia y raspando los trozos dorados con una cuchara de madera, hasta que los trozos se aflojen y el vino se reduzca aproximadamente a la mitad (debe poder oler el vino), aproximadamente 2 minutos. Agrega la mezcla de mantequilla; cocine, revolviendo con frecuencia, hasta que se forme una pasta suave, aproximadamente 2 minutos. Agregue el caldo y la grasa reservada y cocine, revolviendo constantemente, hasta que se combinen y espese, de 6 a 8 minutos. Retire del fuego y agregue el miso. Pruebe y sazone con sal y pimienta negra.
Sirva el pollo con salsa y panzanella de calabaza al lado.",miso-butter-roast-chicken-acorn-squash-panzanella,"['1 pollo entero (3½–4 libras), '2¾ cucharaditas. sal kosher, dividida y más', '2 calabazas bellotas pequeñas (aproximadamente 3 libras en total)', '2 cucharadas. salvia finamente picada', '1 cucharada. romero finamente picado', '6 cucharadas. mantequilla sin sal, derretida, más 3 cucharadas. temperatura ambiente', '¼ cucharadita. pimienta de Jamaica molida', 'Una pizca de hojuelas de pimiento rojo triturado', 'Pimienta negra recién molida', '⅓ de hogaza de pan blanco resistente de buena calidad, partido en trozos de 1"" (aproximadamente 2½ tazas)', '2 manzanas medianas (como Gala o Pink Lady; alrededor de 14 oz en total), sin corazón, cortadas en trozos de 1"", '2 cucharadas. aceite de oliva virgen extra', '½ cebolla morada pequeña, en rodajas finas', '3 cdas. vinagre de sidra de manzana', '1 cucharada. miso blanco', '¼ de taza de harina para todo uso', '2 cucharadas. mantequilla sin sal, temperatura ambiente', '¼ de taza de vino blanco seco', '2 tazas de caldo de pollo sin sal', '2 cucharaditas. miso blanco', 'sal kosher', 'pimienta recién molida']"
1,Patatas Crujientes Con Sal Y Pimienta,"['2 large egg whites', '1 pound new potatoes (about 1 inch in diameter)', '2 teaspoons kosher salt', '¾ teaspoon finely ground black pepper', '1 teaspoon finely chopped rosemary', '1 teaspoon finely chopped thyme', '1 teaspoon finely chopped parsley']","Precaliente el horno a 400°F y cubra una bandeja para hornear con borde con pergamino. En un bol grande, bata las claras hasta que estén espumosas (no debe haber claras líquidas en el bol). Agrega las papas y revuelve hasta que estén bien cubiertas con las claras, luego transfiéralas a un colador o colador y deja escurrir el exceso de claras. Sazone las patatas con sal, pimienta y hierbas. Distribuya las papas en la bandeja para hornear (asegúrese de que no se toquen) y ase hasta que estén muy crujientes y tiernas al pincharlas con un cuchillo, de 15 a 20 minutos (dependiendo del tamaño de las papas).
Transfiera a un bol y sirva.",crispy-salt-and-pepper-potatoes-dan-kluger,"['2 claras de huevo grandes', '1 libra de papas nuevas (aproximadamente 1 pulgada de diámetro)', '2 cucharaditas de sal kosher', '¾ cucharadita de pimienta negra finamente molida', '1 cucharadita de romero finamente picado', '1 cucharadita de tomillo finamente picado', '1 cucharadita de perejil finamente picado']"
2,Macarrones con queso de Acción de Gracias,"['1 cup evaporated milk', '1 cup whole milk', '1 tsp. garlic powder', '1 tsp. onion powder', '1 tsp. smoked paprika', '½ tsp. freshly ground black pepper', '1 tsp. kosher salt, plus more', '2 lb. extra-sharp cheddar, coarsely grated', '4 oz. full-fat cream cheese', '1 lb. elbow macaroni']","Coloque una rejilla en el medio del horno; precalentar a 400°. Lleve la leche evaporada y la leche entera a fuego lento en una cacerola grande a fuego medio. Incorpora el ajo en polvo, la cebolla en polvo, el pimentón, la pimienta y 1 cucharadita. sal. Trabajando en tandas, agregue tres cuartos del queso cheddar y luego todo el queso crema.
Mientras tanto, ponga a hervir una olla grande con agua generosamente salada (debe tener un poco menos de sal que el agua de mar). Cocine los macarrones, revolviendo ocasionalmente, hasta que estén muy al dente, aproximadamente 4 minutos. Escurrir en un colador.
Agregue los macarrones a la salsa de queso en la sartén y mezcle hasta que estén bien cubiertos. Extienda uniformemente la mitad de la mezcla de macarrones en una fuente para hornear de 13x9"". Espolvoree la mitad del queso cheddar restante de manera uniforme. Coloque la mezcla de macarrones restante encima y espolvoree con el queso cheddar restante. Hornee hasta que todo el queso se derrita, aproximadamente 10 minutos. Deje enfriar un poco antes de servir.",thanksgiving-mac-and-cheese-erick-williams,"['1 taza de leche evaporada', '1 taza de leche entera', '1 cucharadita. ajo en polvo', '1 cucharadita. cebolla en polvo', '1 cucharadita. pimentón ahumado', '½ cucharadita. pimienta negra recién molida', '1 cucharadita. sal kosher y más', '2 libras de queso cheddar extra fuerte, rallado grueso', '4 oz. queso crema con toda la grasa', 'macarrones con codo de 1 libra']"
3,Relleno De Pan Y Salchicha Italiana,"['1 (¾- to 1-pound) round Italian loaf, cut into 1-inch cubes (8 cups)', '2 tablespoons olive oil, divided', '2 pounds sweet Italian sausage, casings removed, divided', '1 stick unsalted butter, cut into pieces', '3 medium onions, chopped', '4 large celery ribs, chopped', '5 garlic cloves, minced', '4 large eggs, lightly beaten', '¾ cup heavy cream, divided', '½ cup turkey giblet stock or reduced-sodium chicken broth', '1 cup grated Parmigiano-Reggiano (2 ounces)', '½ cup coarsely chopped flat-leaf parsley', '4-qt shallow ceramic or glass baking dish']","Precalienta el horno a 350°F con la rejilla en el medio. Unte generosamente con mantequilla una fuente para hornear.
Coloque el pan en 2 moldes para hornear poco profundos y hornee, cambiando la posición de los moldes a la mitad del horneado, hasta que se seque, aproximadamente 10 minutos.
Caliente 1 cucharada de aceite en una sartén pesada de 12 pulgadas a fuego medio-alto hasta que brille, luego cocine la mitad de la salchicha, revolviendo y partiéndola en trozos pequeños, hasta que esté dorada, aproximadamente 6 minutos. Transfiera con una espumadera a un tazón grande. Dore el resto de la salchicha en la cucharada de aceite restante y transfiérala al tazón.
Retire la grasa de la sartén y límpiela. Caliente la mantequilla a fuego medio hasta que la espuma desaparezca, luego cocine la cebolla, el apio, el ajo y ½ cucharadita de sal y pimienta, revolviendo ocasionalmente, hasta que estén dorados, de 12 a 15 minutos. Agregue verduras y pan a la salchicha.
Batir los huevos, ½ taza de crema, el caldo de pavo, el queso y el perejil, luego incorporar el relleno y dejar enfriar por completo, aproximadamente 30 minutos. Reserve 5 tazas de relleno para rellenar el pavo y vierta el resto en una fuente para hornear, luego rocíe con el ¼ de taza de crema restante. Cubra el relleno y enfríe.
Aproximadamente 1 hora antes de que termine de asarse el pavo relleno, lleve el relleno a temperatura ambiente. Cuando el pavo esté listo, aumente la temperatura del horno a 425 °F y hornee el relleno, bien cubierto con papel de aluminio, hasta que esté completamente caliente, aproximadamente 20 minutos. Retire el papel aluminio y hornee hasta que la parte superior esté dorada y crujiente, unos 15 minutos más.
Nota del cocinero: el pan se puede tostar con 3 días de anticipación y guardar (una vez frío) en una bolsa sellada a temperatura ambiente. El relleno se puede preparar (pero no hornear) 4 horas antes de asar el pavo. Si hornea el relleno al mismo tiempo que las papas, coloque el relleno en el tercio superior del horno y las papas en el tercio inferior (deje más tiempo).",italian-sausage-and-bread-stuffing-240559,"['1 (¾ a 1 libra) de pan italiano redondo, cortado en cubos de 1 pulgada (8 tazas)', '2 cucharadas de aceite de oliva, divididas', '2 libras de salchicha italiana dulce, sin tripa, dividida', '1 barra de mantequilla sin sal, cortada en trozos', '3 cebollas medianas, picadas', '4 costillas de apio grandes, picadas', '5 dientes de ajo picados', '4 huevos grandes, ligeramente batidos', '¾ taza de peso crema, dividida', '½ taza de caldo de menudencias de pavo o caldo de pollo reducido en sodio', '1 taza de Parmigiano-Reggiano rallado (2 onzas)', '½ taza de perejil de hoja plana picado en trozos grandes', 'una fuente para hornear poco profunda de cerámica o vidrio de 4 cuartos de galón']"
4,Ley de Newton,"['1 teaspoon dark brown sugar', '1 teaspoon hot water', '1 ½ oz. bourbon', '½ oz. fresh lemon juice', '2 teaspoons apple butter (storebought or homemade)', 'Garnish: orange twist and freshly grated or ground cinnamon']","Mezcle el azúcar moreno y el agua caliente en una coctelera para que se disuelva. Deje enfriar, luego agregue bourbon, jugo de limón y mantequilla de manzana y rellénelo con hielo. Agite hasta que esté bien frío, aproximadamente 15 segundos. Colar en un vaso bajo lleno de hielo. Adorne con una rodaja de naranja y canela.",newtons-law-apple-bourbon-cocktail,"['1 cucharadita de azúcar moreno oscuro', '1 cucharadita de agua caliente', '1 ½ oz. bourbon', '½ oz. jugo de limón fresco', '2 cucharaditas de mantequilla de manzana (comprada en la tienda o casera)', 'Decoración: rodaja de naranja y canela recién rallada o molida']"
5,Cálido confort,"['2 chamomile tea bags', '1½ oz. reposado tequila', '¾ oz. fresh lemon juice', '1 Tbsp. agave nectar']","Coloque 2 bolsitas de té de manzanilla en un recipiente resistente al calor, como una taza medidora de líquidos grande. Vierta 1 ½ tazas de agua hirviendo y déjela reposar durante 5 minutos, luego retire las bolsitas de té.
Agregue 1 ½ oz. tequila reposado, ¾ oz. jugo de limón fresco y 1 cucharada. néctar de agave y revuelva hasta incorporar. Vierta en una taza aislante de 16 onzas (o dos tazas más pequeñas de 8 onzas) y beba caliente.",warm-comfort-tequila-chamomile-toddy,"['2 bolsitas de té de manzanilla', '1½ oz. tequila reposado', '¾ oz. jugo de limón fresco', '1 cucharada. néctar de agave']"
6,manzanas y naranjas,"['3 oz. Grand Marnier', '1 oz. Amaro Averna', 'Small pat salted butter (about ½ teaspoon)', '1 cup hot apple cider', '1½ to 3 tsp. fresh lemon juice (to taste, depending on the sweetness of your cider)', 'Garnish: freshly ground pink peppercorns, plus 2 lemon wheels (optional)']","Agregue 3 onzas. Gran Marnier, 1 oz. Amaro Averna y un poco de mantequilla salada en una taza de viaje de 16 onzas o una taza medidora grande resistente al calor. Agrega 1 taza de sidra de manzana caliente y revuelve hasta que la mantequilla se derrita.
Agrega 1½ cucharadita. jugo de limón fresco y pruebe el dulzor, agregando más si es necesario. Si sirve en una taza de viaje, decore con granos de pimienta rosa molida y selle. Si sirve en tazas, divida la bebida entre dos tazas calientes y decore cada una con una rodaja de limón espolvoreada con pimienta rosa.",apples-and-oranges-spiked-cider,"['3 onzas. Gran Marnier', '1 onza. Amaro Averna', 'Pequeña mantequilla salada (aproximadamente ½ cucharadita)', '1 taza de sidra de manzana caliente', '1½ a 3 cucharaditas. jugo de limón fresco (al gusto, dependiendo del dulzor de la sidra)', 'Decoración: granos de pimienta rosa recién molidos', 'más 2 rodajas de limón (opcional)']"
7,Toddy caliente de cúrcuma,"['¼ cup granulated sugar', '¾ tsp. ground turmeric', '1 ½ oz. Amontillado sherry', '1 oz. bourbon, aged rum, Scotch, mezcal, or gin', '1 oz. Turmeric Syrup', '½ oz. fresh lemon juice', 'Garnish: Dehydrated lemon wheel (optional)']","Para el jarabe de cúrcuma, combine ½ taza de agua caliente y ¼ de taza de azúcar en una taza medidora de líquidos o en un frasco de vidrio. Agrega ¾ cucharadita. cúrcuma molida y revuelva, o selle y agite, hasta que el azúcar se disuelva por completo. (Esto produce suficiente almíbar para 4 bebidas. El almíbar se puede usar inmediatamente o refrigerar, tapado, hasta por 10 días. Agite o revuelva antes de usarlo para reincorporar la cúrcuma).
Para el ponche, combine 1 ½ oz. Jerez amontillado, 1 oz. bourbon (u otro licor de su elección), 1 oz. Jarabe de cúrcuma y ½ oz. Jugo de limón fresco en un vaso de pinta resistente o en un termo de 16 onzas. Cubra con 8 oz. agua caliente y revuelva suavemente. Adorne con una rodaja de limón deshidratada si lo desea.",turmeric-hot-toddy-claire-sprouse,"['¼ taza de azúcar granulada', '¾ cucharadita. cúrcuma molida', '1 ½ oz. Jerez amontillado', '1 oz. bourbon, ron añejo, whisky escocés, mezcal o ginebra, '1 oz. Jarabe de cúrcuma', '½ oz. jugo de limón fresco', 'Decoración: rodaja de limón deshidratada (opcional)']"
8,Haleem de cordero instantáneo,"['¾ cup assorted dals (such as chana dal, moong dal, masoor dal, and/or urad dal)', '¼ cup white jasmine rice or other long-grain rice', '¼ cup pearl barley', '1½ lb. bone-in lamb stew meat', '3 tsp. kosher salt, divided, plus more', '1 6"" piece fresh ginger', '3 medium shallots, thinly sliced', '⅓ cup ghee or vegetable oil', '4 garlic cloves, finely grated', '2 Tbsp. plus 1½ tsp. garam masala', '1 tsp. (or more) cayenne pepper', '1 tsp. ground turmeric', '3 green Thai chiles, stems removed (optional)', '½ cup (lightly packed) chopped cilantro, plus more for serving', '½ white onion, finely chopped', '2 limes, cut into wedges']","Combine los dals, el arroz y la cebada en un tazón mediano. Vierta agua para cubrir y agite los dals y los granos con los dedos. Escurrir y repetir el proceso hasta que el agua salga lo suficientemente clara como para ver las manos. Vierta agua hasta cubrir y deje los dals y los granos en remojo a temperatura ambiente durante al menos 2 horas, o cubra y enfríe hasta 12 horas.
Coloque el cordero en un plato, séquelo con toallas de papel y sazone todo con 2 cucharaditas. sal; dejar de lado. Pele el jengibre raspando la piel con una cuchara. Ralla finamente la mitad del jengibre; dejar de lado. Corta el jengibre restante en rodajas finas. Apila las rebanadas y córtalas transversalmente en palitos; dejar de lado.
Si usa una olla a presión eléctrica, combine las chalotas y el ghee en una olla y póngalos en función de saltear o en temperatura alta. Cocine, revolviendo con frecuencia y ajustando el fuego según sea necesario si su cocina tiene esa opción, hasta que las chalotas comiencen a dorarse, aproximadamente 8 minutos (o aproximadamente 6 minutos si se cocinan en aceite). Reduzca a función normal o media si es posible o, si su olla no tiene una configuración más baja, apáguela por un minuto si la mezcla se calienta demasiado. Agregue las cerillas de jengibre reservadas y cocine, revolviendo con frecuencia, hasta que las chalotas estén doradas y crujientes y el jengibre dorado, de 4 a 10 minutos, dependiendo de su cocina. Con una espumadera, transfiera las chalotas y el jengibre a un plato, extendiéndolos en una sola capa. Sazone ligeramente con sal; dejar enfriar.
Agregue el ajo, el garam masala, la cayena, la cúrcuma y el jengibre rallado reservado y cocine, revolviendo constantemente, hasta que esté fragante, aproximadamente 30 segundos. Agregue el cordero y revuelva para cubrirlo con las especias. Cocine, revolviendo con frecuencia con una cuchara de madera y agregando repetidamente salpicaduras de agua a medida que las especias comienzan a pegarse al fondo de la olla y raspando los trozos dorados, hasta que los sabores se unan, aproximadamente 15 minutos. (Bhuna, el proceso de pegar y raspar repetidamente, es una técnica de cocina del sudeste asiático que resalta el sabor de las especias y garantiza que no sepan crudas ni granuladas).
Escurre la mezcla de dal y agrégala a la olla junto con 1 cucharadita. sal y 5 tazas de agua. Asegure la tapa y ejerza presión máxima según las instrucciones del fabricante. Cocine 1½ horas. Déjelo reposar durante 20 minutos, luego libere la presión manualmente y ábralo.
Pruebe el haleem y agregue más sal y cayena si es necesario. Agregue chiles si los usa. (Estos son para dar sabor, no para calentar; siéntase libre de omitirlos). Cocine a fuego lento a temperatura media o normal, revolviendo con frecuencia, durante 5 minutos. Agrega ½ taza de cilantro.
Sirva el haleem con cebolla blanca, rodajas de lima, las chalotas crujientes y el jengibre reservados y más cilantro picado.
Si usa una olla a presión mediana o una olla a presión, cocine las chalotas y el ghee a fuego alto, revolviendo con frecuencia, hasta que las chalotas comiencen a dorarse, aproximadamente 8 minutos (o aproximadamente 6 minutos si se cocinan en aceite). Agregue las cerillas de jengibre reservadas y cocine, revolviendo con frecuencia, hasta que las chalotas estén doradas y crujientes y el jengibre dorado, de 5 a 8 minutos. Con una espumadera, transfiera las chalotas y el jengibre a un plato, extendiéndolos en una sola capa. Sazone ligeramente con sal; dejar enfriar.
Reduzca el fuego a medio, agregue el ajo, el garam masala, la cayena, la cúrcuma y el jengibre rallado reservado y cocine, revolviendo constantemente, hasta que esté fragante, aproximadamente 30 segundos. Agregue el cordero y revuelva para cubrirlo con las especias. Cocine, revolviendo frecuentemente con una cuchara de madera y agregando repetidamente salpicaduras de agua a medida que las especias comiencen a pegarse al fondo de la olla y raspando los trozos dorados, hasta que los sabores se unan, aproximadamente 15 minutos. (Bhuna, el proceso de pegar y raspar repetidamente, es una técnica culinaria del sudeste asiático que resalta el sabor de las especias y garantiza que no sepan crudas ni granuladas).
Escurre la mezcla de dal y agrégala a la olla junto con 1 cucharadita. sal y 6½ tazas de agua (si usa una olla a presión) o 5 tazas de agua (para olla a presión). Aumente el fuego a alto y deje que hierva, luego reduzca el fuego a bajo, cubra la olla y cocine, revolviendo y raspando el fondo de la olla cada 15 a 20 minutos, hasta que la carne se desprenda del hueso y los dals y los granos casi se hayan derretido en el guiso, de 4½ a 5 horas. (Si usa una estufa, aumente el fuego a alto y déjelo hervir. Asegure la tapa y alcance la presión máxima según las instrucciones del fabricante. Cocine durante 1½ horas. Deje reposar 20 minutos, luego libere la presión manualmente y abra).
Pruebe el haleem y agregue más sal y cayena si es necesario. Agregue chiles si los usa. (Estos son para dar sabor, no para calentar; siéntase libre de omitirlos). Cocine a fuego medio, revolviendo con frecuencia, durante 5 minutos. Agrega ½ taza de cilantro.
Sirva el haleem con cebolla blanca, rodajas de lima, las chalotas crujientes y el jengibre reservados y más cilantro picado.
Adelante: Haleem se puede preparar con 1 día de anticipación. Dejar",instant-pot-lamb-haleem,"['¾ taza de dals variados (como chana dal, moong dal, masoor dal y/o urad dal)', '¼ taza de arroz jazmín blanco u otro arroz de grano largo', '¼ taza de cebada perlada', '1½ libra de carne guisada de cordero con hueso', '3 cucharaditas. sal kosher, dividida y más', '1 trozo de jengibre fresco de 6""', '3 chalotes medianos, en rodajas finas', '⅓ taza de ghee o aceite vegetal', '4 dientes de ajo finamente rallados', '2 cucharadas más 1½ cucharadita de garam masala', '1 cucharadita (o más) de pimienta de cayena', '1 cucharadita de cúrcuma molida', '3 chiles verdes tailandeses, sin tallos (opcional)', '½ taza (ligeramente empaquetada) de cilantro picado, y más para servir', '½ cebolla blanca, finamente picada', '2 limas', 'cortada en gajos']"
9,Huevos al horno con lentejas especiadas y cebolla caramelizada,"['1 (14.5-ounce) can basic lentil soup, like Amy’s', '1 large onion, thinly sliced', '½ tsp. turmeric', '1 tsp. cumin', '¼ tsp. Aleppo pepper or ⅛ tsp. crushed red pepper flakes', '2 Tbsp. tomato paste', '3 large eggs', '2 Tbsp. ghee, unsalted butter, or olive oil', '½ tsp. whole cumin seeds', 'Olive oil', 'Kosher salt and freshly ground black pepper', 'Parsley, for finishing']","Coloque una rejilla en el centro del horno y luego precaliente a 350 °F.
En una sartén mediana apta para horno, caliente 1 cucharada. aceite de oliva a fuego medio. Agrega 1 cebolla grande cortada en rodajas finas y ½ cucharadita. Sal kosher. Cocine, revolviendo con frecuencia, hasta que estén dorados, aproximadamente 25 minutos.
Agrega ½ cucharadita. cúrcuma, 1 cucharadita. comino, ¼ de cucharadita. Pimiento de Alepo (o ⅛ de cucharadita de hojuelas de pimiento rojo triturado) y 2 cucharadas. pasta de tomate. Cocine y revuelva constantemente hasta que las cebollas estén cubiertas y la pasta de tomate se haya oscurecido ligeramente, aproximadamente 2 minutos. Agrega ⅓ taza de agua; revuelva y raspe todos los trozos dorados del fondo de la sartén durante 1 a 2 minutos, o hasta que el líquido se vea espeso y picante. Agregue uno de 14 oz. lata de sopa de lentejas; cocine, revolviendo para combinar, de 1 a 2 minutos. Apague el fuego y sazone con sal, pimienta y más pimienta de Alepo o hojuelas de pimiento rojo al gusto.
Con una cuchara, haga 3 pocillos en la mezcla de lentejas. Rompe con cuidado 1 huevo en cada pocillo. Transfiera la sartén al horno y hornee hasta que las claras de los huevos estén cocidas, de 11 a 13 minutos.
Mientras se hornean los huevos, en una olla pequeña o en un calentador de mantequilla, caliente 2 cucharadas. mantequilla sin sal, ghee o aceite de oliva a fuego medio. Agrega ½ cucharadita. semillas de comino; Gire la sartén hasta que las semillas comiencen a chisporrotear y dorarse, de 30 segundos a 1 minuto. Retirar del fuego.
Rocíe los huevos terminados con la mezcla de mantequilla, sazone con sal y pimienta y decore con perejil antes de servir.",spiced-lentil-and-caramelized-onion-baked-eggs,"['1 lata (14,5 onzas) de sopa básica de lentejas, como la de Amy', '1 cebolla grande, en rodajas finas', '½ cucharadita. cúrcuma', '1 cucharadita. comino', '¼ cucharadita. Pimienta de Alepo o ⅛ cucharadita. hojuelas de pimiento rojo triturado', '2 cucharadas. pasta de tomate', '3 huevos grandes', '2 cdas. ghee, mantequilla sin sal o aceite de oliva', '½ cucharadita. semillas de comino enteras', 'Aceite de oliva', 'Sal kosher y pimienta negra recién molida', 'Perejil', 'para terminar']"
